                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.32,                 2.5224,                 1.6104,                 1.1629,                0.58115,                0.42054,                0.43965,                0.24945,                0.55353,                0.36428,                 0.3838,                0.18598,                  1.485,                 2.7128,                 1.5331,                 1.2688,             0.00055276,             0.00055276,             0.00055276
                      2,                 1.3972,                 2.5846,                 1.3128,                 1.2301,                0.56975,                0.40058,                0.42639,                 0.2414,                0.49666,                0.35077,                0.35964,                0.17575,                 1.5398,                  2.847,                 1.5717,                 1.3202,              0.0010975,              0.0010975,              0.0010975
                      3,                 1.4345,                 2.6342,                 1.2808,                 1.2557,                0.48522,                0.48479,                0.47085,                 0.2631,                0.46626,                 0.3872,                0.39001,                0.18503,                 1.4821,                 2.7838,                 1.3189,                 1.3144,              0.0016311,              0.0016311,              0.0016311
                      4,                 1.4271,                 2.6258,                 1.2311,                 1.2596,                0.64098,                0.43899,                0.47961,                0.26391,                0.56054,                 0.3872,                 0.3963,                0.18584,                 1.4988,                 2.7207,                   1.29,                 1.3048,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.403,                 2.6065,                 1.1954,                 1.2452,                0.58546,                0.46436,                0.48614,                 0.2789,                 0.5583,                0.37669,                0.40615,                0.18957,                 1.4942,                 2.6883,                 1.1929,                 1.2984,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.3717,                 2.5617,                 1.1508,                 1.2344,                0.60399,                0.44116,                0.49544,                0.26732,                0.55338,                0.39027,                0.41363,                0.20286,                 1.4762,                 2.6533,                 1.1842,                 1.2878,               0.001601,               0.001601,               0.001601
                      7,                 1.3661,                 2.5577,                 1.1296,                 1.2249,                0.60438,                0.47127,                0.51094,                0.29666,                0.51504,                0.41263,                 0.4271,                 0.2022,                 1.4118,                 2.6734,                 1.1294,                  1.284,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3386,                 2.5036,                 1.0986,                 1.2162,                0.59442,                0.52106,                0.53951,                0.31087,                0.51953,                0.42567,                0.41839,                0.20526,                 1.3978,                 2.5646,                 1.1093,                 1.2381,               0.001568,               0.001568,               0.001568
                      9,                 1.3281,                 2.4908,                 1.0738,                  1.208,                0.61819,                0.48266,                0.52793,                0.31077,                0.55213,                0.42663,                0.43389,                0.20841,                 1.3782,                 2.5776,                 1.0974,                 1.2524,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3037,                 2.4554,                 1.0503,                 1.1926,                0.58127,                0.51177,                0.54107,                0.31439,                0.55749,                0.40484,                0.42448,                0.20525,                 1.3686,                 2.6294,                 1.0952,                 1.2223,               0.001535,               0.001535,               0.001535
